k,c,m,t,x
200,2,1,0.16430358632193495,-0.5323567626265607
200,2,1,0.16513761467889906,-0.5396749799031579
200,2,1,0.1659716430358632,-0.5469059836680706
200,2,1,0.16680567139282734,-0.5540489141453051
200,2,1,0.16763969974979148,-0.5611029252342865
200,2,1,0.16847372810675562,-0.5680671846046755
200,2,1,0.16930775646371976,-0.5749408737891163
200,2,1,0.1701417848206839,-0.5817231882738992
200,2,1,0.17097581317764804,-0.588413337587536
200,2,1,0.17180984153461218,-0.595010545387233
200,2,1,0.17264386989157632,-0.6015140495432578
200,2,1,0.17347789824854043,-0.6079231022211894
200,2,1,0.17431192660550457,-0.6142369699620438
200,2,1,0.1751459549624687,-0.6204549337602686
200,2,1,0.17597998331943285,-0.626576289139596
200,2,1,0.176814011676397,-0.6326003462267544
200,2,1,0.17764804003336113,-0.6385264298230224
200,2,1,0.17848206839032527,-0.6443538794736267
200,2,1,0.1793160967472894,-0.6500820495349752
200,2,1,0.18015012510425354,-0.6557103092397158
200,2,1,0.18098415346121768,-0.6612380427596241
200,2,1,0.18181818181818182,-0.6666646492663034
200,2,1,0.18265221017514593,-0.6719895429897059
200,2,1,0.18348623853211007,-0.6772121532744567
200,2,1,0.1843202668890742,-0.6823319246339861
200,2,1,0.18515429524603835,-0.6873483168024626
200,2,1,0.1859883236030025,-0.6922608047845239
200,2,1,0.18682235195996663,-0.6970688789028021
200,2,1,0.18765638031693077,-0.7017720448432403
200,2,1,0.1884904086738949,-0.7063698236981979
200,2,1,0.18932443703085905,-0.7108617520073438
200,2,1,0.1901584653878232,-0.7152473817963324
200,2,1,0.19099249374478733,-0.7195262806132636
200,2,1,0.19182652210175144,-0.7236980315629249
200,2,1,0.19266055045871558,-0.7277622333388127
200,2,1,0.19349457881567972,-0.7317185002529336
200,2,1,0.19432860717264386,-0.7355664622633865
200,2,1,0.195162635529608,-0.7393057649997218
200,2,1,0.19599666388657214,-0.7429360697860813
200,2,1,0.19683069224353628,-0.7464570536621172
200,2,1,0.19766472060050042,-0.7498684094016929
200,2,1,0.19849874895746455,-0.7531698455293633
200,2,1,0.1993327773144287,-0.7563610863346414
200,2,1,0.20016680567139283,-0.7594418718840462
200,2,1,0.20100083402835695,-0.7624119580309406
200,2,1,0.20183486238532108,-0.765271116423157
200,2,1,0.20266889074228522,-0.7680191345084134
200,2,1,0.20350291909924936,-0.7706558155375278
200,2,1,0.2043369474562135,-0.7731809785654269
200,2,1,0.20517097581317764,-0.7755944584499584
200,2,1,0.20600500417014178,-0.7778961058485081
200,2,1,0.20683903252710592,-0.7800857872124267
200,2,1,0.20767306088407006,-0.7821633847792693
200,2,1,0.2085070892410342,-0.7841287965628553
200,2,1,0.2093411175979983,-0.7859819363411505
200,2,1,0.21017514595496245,-0.7877227336419792
200,2,1,0.2110091743119266,-0.7893511337265697
200,2,1,0.21184320266889073,-0.7908670975709413
200,2,1,0.21267723102585487,-0.7922706018451369
200,2,1,0.213511259382819,-0.7935616388903096
200,2,1,0.21434528773978315,-0.7947402166936692
200,2,1,0.2151793160967473,-0.7958063588612942
200,2,1,0.21601334445371143,-0.7967601045888199
200,2,1,0.21684737281067556,-0.797601508630007
200,2,1,0.2176814011676397,-0.7983306412632006
200,2,1,0.21851542952460382,-0.7989475882556873
200,2,1,0.21934945788156796,-0.7994524508259582
200,2,1,0.2201834862385321,-0.7998453456038865
200,2,1,0.22101751459549623,-0.8001264045888313
200,2,1,0.22185154295246037,-0.8002957751056725
200,2,1,0.2226855713094245,-0.8003536197587896
200,2,1,0.22351959966638865,-0.8003001163839942
200,2,1,0.2243536280233528,-0.8001354579984239
200,2,1,0.22518765638031693,-0.79985985274841
200,2,1,0.22602168473728107,-0.7994735238553299
200,2,1,0.22685571309424518,-0.7989767095594529
200,2,1,0.22768974145120932,-0.7983696630617927
200,2,1,0.22852376980817346,-0.7976526524639774
200,2,1,0.2293577981651376,-0.7968259607061483
200,2,1,0.23019182652210174,-0.7958898855028987
200,2,1,0.23102585487906588,-0.7948447392772673
200,2,1,0.23185988323603002,-0.7936908490927966
200,2,1,0.23269391159299416,-0.7924285565836681
200,2,1,0.2335279399499583,-0.791058217882931
200,2,1,0.23436196830692244,-0.7895802035488326
200,2,1,0.23519599666388658,-0.787994898489269
200,2,1,0.2360300250208507,-0.7863027018843641
200,2,1,0.23686405337781483,-0.7845040271071966
200,2,1,0.23769808173477897,-0.782599301642684
200,2,1,0.2385321100917431,-0.7805889670046415
200,2,1,0.23936613844870724,-0.7784734786510292
200,2,1,0.24020016680567138,-0.7762533058974012
200,2,1,0.24103419516263552,-0.7739289318285729
200,2,1,0.24186822351959966,-0.7715008532085236
200,2,1,0.2427022518765638,-0.7689695803885441
200,2,1,0.24353628023352794,-0.7663356372136525
200,2,1,0.24437030859049208,-0.7635995609272874
200,2,1,0.2452043369474562,-0.7607619020742996
200,2,1,0.24603836530442033,-0.7578232244022548
200,2,1,0.24687239366138447,-0.754784104761067
200,2,1,0.2477064220183486,-0.7516451330009779
200,2,1,0.24854045037531275,-0.7484069118688967
200,2,1,0.2493744787322769,-0.7450700569031244
200,2,1,0.25020850708924103,-0.7416351963264717
200,2,1,0.25104253544620514,-0.7381029709377931
200,2,1,0.2518765638031693,-0.7344740340019547
200,2,1,0.2527105921601334,-0.7307490511382513
200,2,1,0.2535446205170976,-0.7269287002072921
200,2,1,0.2543786488740617,-0.7230136711963745
200,2,1,0.25521267723102586,-0.7190046661033619
200,2,1,0.25604670558799,-0.7149023988190873
200,2,1,0.25688073394495414,-0.7107075950082975
200,2,1,0.25771476230191825,-0.7064209919891609
200,2,1,0.25854879065888237,-0.7020433386113553
200,2,1,0.25938281901584653,-0.6975753951327563
200,2,1,0.26021684737281064,-0.6930179330947468
200,2,1,0.2610508757297748,-0.6883717351961619
200,2,1,0.2618849040867389,-0.6836375951658982
200,2,1,0.2627189324437031,-0.6788163176341977
200,2,1,0.2635529608006672,-0.6739087180026345
200,2,1,0.26438698915763137,-0.6689156223128171
200,2,1,0.2652210175145955,-0.6638378671138353
200,2,1,0.26605504587155965,-0.6586762993284625
200,2,1,0.26688907422852376,-0.6534317761181428
200,2,1,0.26772310258548787,-0.648105164746778
200,2,1,0.26855713094245204,-0.642697342443337
200,2,1,0.26939115929941615,-0.6372091962633122
200,2,1,0.2702251876563803,-0.6316416229490353
200,2,1,0.27105921601334443,-0.6259955287888855
200,2,1,0.2718932443703086,-0.6202718294754007
200,2,1,0.2727272727272727,-0.6144714499623207
200,2,1,0.2735613010842369,-0.6085953243205803
200,2,1,0.274395329441201,-0.6026443955932748
200,2,1,0.27522935779816515,-0.5966196156496205
200,2,1,0.27606338615512926,-0.5905219450379336
200,2,1,0.2768974145120934,-0.5843523528376429
200,2,1,0.27773144286905754,-0.5781118165103677
200,2,1,0.27856547122602165,-0.5718013217500785
200,2,1,0.2793994995829858,-0.565421862332359
200,2,1,0.28023352793994993,-0.5589744399628027
200,2,1,0.2810675562969141,-0.552460064124552
200,2,1,0.2819015846538782,-0.5458797519250175
200,2,1,0.2827356130108424,-0.5392345279417879
200,2,1,0.2835696413678065,-0.5325254240677624
200,2,1,0.28440366972477066,-0.525753479355519
200,2,1,0.28523769808173477,-0.5189197398609531
200,2,1,0.2860717264386989,-0.5120252584861988
200,2,1,0.28690575479566305,-0.5050710948218622
200,2,1,0.28773978315262716,-0.4980583149885885
200,2,1,0.2885738115095913,-0.49098799147798294
200,2,1,0.28940783986655544,-0.4838612029929143
200,2,1,0.2902418682235196,-0.4766790342872177
200,2,1,0.2910758965804837,-0.4694425760048296
200,2,1,0.2919099249374479,-0.4621529245183631
200,2,1,0.292743953294412,-0.45481118176716445
200,2,1,0.29357798165137616,-0.4474184550948602
200,2,1,0.2944120100083403,-0.43997585708642883
200,2,1,0.2952460383653044,-0.4324845054048083
200,2,1,0.29608006672226855,-0.42494552262707724
200,2,1,0.29691409507923266,-0.4173600360802218
200,2,1,0.29774812343619683,-0.40972917767651706
200,2,1,0.29858215179316094,-0.40205408374854784
200,2,1,0.2994161801501251,-0.3943358948838842
200,2,1,0.3002502085070892,-0.38657575575944686
200,2,1,0.3010842368640534,-0.37877481497557713
200,2,1,0.3019182652210175,-0.37093422488984085
200,2,1,0.3027522935779816,-0.36305514145058193
200,2,1,0.3035863219349458,-0.3551387240302595
200,2,1,0.3044203502919099,-0.34718613525858416
200,2,1,0.30525437864887406,-0.33919854085547935
200,2,1,0.30608840700583817,-0.3311771094638951
200,2,1,0.30692243536280234,-0.32312301248248754
200,2,1,0.30775646371976645,-0.31503742389820033
200,2,1,0.3085904920767306,-0.3069215201187619
200,2,1,0.3094245204336947,-0.29877647980512906
200,2,1,0.3102585487906589,-0.2906034837038905
200,2,1,0.311092577147623,-0.2824037144796654
200,2,1,0.3119266055045871,-0.2741783565475125
200,2,1,0.3127606338615513,-0.26592859590537443
200,2,1,0.3135946622185154,-0.2576556199665849
200,2,1,0.31442869057547956,-0.24936061739245186
200,2,1,0.3152627189324437,-0.24104477792495216
200,2,1,0.31609674728940784,-0.23270929221955175
200,2,1,0.31693077564637195,-0.2243553516781807
200,2,1,0.3177648040033361,-0.21598414828237686
200,2,1,0.31859883236030023,-0.2075968744266334
200,2,1,0.3194328607172644,-0.19919472275196237
200,2,1,0.3202668890742285,-0.19077888597970605
200,2,1,0.3211009174311926,-0.18235055674560707
200,2,1,0.3219349457881568,-0.17391092743417355
200,2,1,0.3227689741451209,-0.1654611900133523
200,2,1,0.32360300250208507,-0.1570025358695349
200,2,1,0.3244370308590492,-0.14853615564292333
200,2,1,0.32527105921601335,-0.1400632390632672
200,2,1,0.32610508757297746,-0.13158497478600745
200,2,1,0.3269391159299416,-0.12310255022883893
200,2,1,0.32777314428690574,-0.11461715140872104
200,2,1,0.3286071726438699,-0.1061299627793479
200,2,1,0.329441201000834,-0.09764216706911683
200,2,1,0.33027522935779813,-0.08915494511959383
200,2,1,0.3311092577147623,-0.08066947572452353
200,2,1,0.3319432860717264,-0.07218693546938557
200,2,1,0.3327773144286906,-0.06370849857152285
200,2,1,0.3336113427856547,-0.05523533672087113
200,2,1,0.33444537114261885,-0.04676861892130164
200,2,1,0.33527939949958296,-0.038309511332605184
200,2,1,0.33611342785654713,-0.029859177113128084
200,2,1,0.33694745621351124,-0.021418776263097645
200,2,1,0.3377814845704754,-0.012989465468634519
200,2,1,0.3386155129274395,-0.004572397946502128
200,2,1,0.33944954128440363,0.0038312767104187306
200,2,1,0.3402835696413678,0.012220412686883864
200,2,1,0.3411175979983319,0.020593868098262105
200,2,1,0.3419516263552961,0.028950505142710407
200,2,1,0.3427856547122602,0.03728919025252466
200,2,1,0.34361968306922436,0.04560879424465657
200,2,1,0.34445371142618847,0.05390819247036019
200,2,1,0.34528773978315264,0.062186264963971935
200,2,1,0.34612176814011675,0.07044189659077532
200,2,1,0.34695579649708086,0.07867397719396348
200,2,1,0.347789824854045,0.08688140174065531
200,2,1,0.34862385321100914,0.09506307046695613
200,2,1,0.3494578815679733,0.10321788902205341
200,2,1,0.3502919099249374,0.11134476861130446
200,2,1,0.3511259382819016,0.1194426261383294
200,2,1,0.3519599666388657,0.12751038434606154
200,2,1,0.35279399499582986,0.1355469719567647
200,2,1,0.353628023352794,0.14355132381096994
200,2,1,0.35446205170975814,0.15152238100534632
200,2,1,0.35529608006672225,0.1594590910294592
200,2,1,0.35613010842368636,0.16736040790142145
200,2,1,0.35696413678065053,0.17522529230240763
200,2,1,0.35779816513761464,0.18305271171001217
200,2,1,0.3586321934945788,0.19084164053045236
200,2,1,0.3594662218515429,0.1985910602295752
200,2,1,0.3603002502085071,0.20629995946267815
200,2,1,0.3611342785654712,0.21396733420309838
200,2,1,0.36196830692243537,0.22159218786958565
200,2,1,0.3628023352793995,0.22917353145241628
200,2,1,0.36363636363636365,0.23671038363825317
200,2,1,0.36447039199332776,0.24420177093372183
